pair_id,example_id,model,question,answer,claim_text,matched_sentence_text,predicted_citation_doc_ids,correct
117,16,llama-3.1-8b,Where does places in the heart take place?,"The film ""Places in the Heart"" takes place in a small, segregated town in Texas, specifically Waxahachie, Texas [1]. It is set in 1935, during the US Depression era, and follows a U.S. widow's efforts to save the family farm with the help of a blind white man and a poor black man.",The widow efforts to save the family farm.,"It is set in 1935, during the US Depression era, and follows a U.S. widow's efforts to save the family farm with the help of a blind white man and a poor black man.",,
118,16,llama-3.1-8b,Where does places in the heart take place?,"The film ""Places in the Heart"" takes place in a small, segregated town in Texas, specifically Waxahachie, Texas [1]. It is set in 1935, during the US Depression era, and follows a U.S. widow's efforts to save the family farm with the help of a blind white man and a poor black man.",A blind white man helps the widow.,"It is set in 1935, during the US Depression era, and follows a U.S. widow's efforts to save the family farm with the help of a blind white man and a poor black man.",,
119,16,llama-3.1-8b,Where does places in the heart take place?,"The film ""Places in the Heart"" takes place in a small, segregated town in Texas, specifically Waxahachie, Texas [1]. It is set in 1935, during the US Depression era, and follows a U.S. widow's efforts to save the family farm with the help of a blind white man and a poor black man.",A poor black man helps the widow.,"It is set in 1935, during the US Depression era, and follows a U.S. widow's efforts to save the family farm with the help of a blind white man and a poor black man.",,
120,17,qwen3-8b,When was the statue of liberty delivered to the united states?,"The Statue of Liberty was delivered to the United States on **June 17, 1885**, when it arrived in New York Harbor aboard the French frigate *Isère* [1]. Prior to this, the statue was formally transferred to the American minister in Paris on **July 4, 1880**, as part of its official gifting process [3]. The statue was then assembled on Liberty Island and officially dedicated on **October 28, 1886** [5].","The Statue of Liberty was delivered to the United States on June 17, 1885.","The Statue of Liberty was delivered to the United States on **June 17, 1885**, when it arrived in New York Harbor aboard the French frigate *Isère* [1]. ",doc1,
121,17,qwen3-8b,When was the statue of liberty delivered to the united states?,"The Statue of Liberty was delivered to the United States on **June 17, 1885**, when it arrived in New York Harbor aboard the French frigate *Isère* [1]. Prior to this, the statue was formally transferred to the American minister in Paris on **July 4, 1880**, as part of its official gifting process [3]. The statue was then assembled on Liberty Island and officially dedicated on **October 28, 1886** [5].",The Statue of Liberty arrived in New York Harbor aboard the French frigate Isère.,"The Statue of Liberty was delivered to the United States on **June 17, 1885**, when it arrived in New York Harbor aboard the French frigate *Isère* [1]. ",doc1,
122,17,qwen3-8b,When was the statue of liberty delivered to the united states?,"The Statue of Liberty was delivered to the United States on **June 17, 1885**, when it arrived in New York Harbor aboard the French frigate *Isère* [1]. Prior to this, the statue was formally transferred to the American minister in Paris on **July 4, 1880**, as part of its official gifting process [3]. The statue was then assembled on Liberty Island and officially dedicated on **October 28, 1886** [5].","The statue was formally transferred to the American minister in Paris on July 4, 1880.","Prior to this, the statue was formally transferred to the American minister in Paris on **July 4, 1880**, as part of its official gifting process [3]. ",doc3,
123,17,qwen3-8b,When was the statue of liberty delivered to the united states?,"The Statue of Liberty was delivered to the United States on **June 17, 1885**, when it arrived in New York Harbor aboard the French frigate *Isère* [1]. Prior to this, the statue was formally transferred to the American minister in Paris on **July 4, 1880**, as part of its official gifting process [3]. The statue was then assembled on Liberty Island and officially dedicated on **October 28, 1886** [5].",The transfer was part of the statue's official gifting process.,"Prior to this, the statue was formally transferred to the American minister in Paris on **July 4, 1880**, as part of its official gifting process [3]. ",doc3,
124,17,qwen3-8b,When was the statue of liberty delivered to the united states?,"The Statue of Liberty was delivered to the United States on **June 17, 1885**, when it arrived in New York Harbor aboard the French frigate *Isère* [1]. Prior to this, the statue was formally transferred to the American minister in Paris on **July 4, 1880**, as part of its official gifting process [3]. The statue was then assembled on Liberty Island and officially dedicated on **October 28, 1886** [5].",The statue was assembled on Liberty Island.,"The statue was then assembled on Liberty Island and officially dedicated on **October 28, 1886** [5].",doc5,
125,17,qwen3-8b,When was the statue of liberty delivered to the united states?,"The Statue of Liberty was delivered to the United States on **June 17, 1885**, when it arrived in New York Harbor aboard the French frigate *Isère* [1]. Prior to this, the statue was formally transferred to the American minister in Paris on **July 4, 1880**, as part of its official gifting process [3]. The statue was then assembled on Liberty Island and officially dedicated on **October 28, 1886** [5].","The statue was officially dedicated on October 28, 1886.","The statue was then assembled on Liberty Island and officially dedicated on **October 28, 1886** [5].",doc5,
126,18,gemma-4-e4b,Who's henry's father in once upon a time?,"Henry Mills' biological father is Neal Cassidy, who is also known by the alias Baelfire [2][4]. Emma Swan is Henry's mother [2][3].",Henry Mills' biological father is Neal Cassidy.,"Henry Mills' biological father is Neal Cassidy, who is also known by the alias Baelfire [2][4]. ","doc2,doc4",
127,18,gemma-4-e4b,Who's henry's father in once upon a time?,"Henry Mills' biological father is Neal Cassidy, who is also known by the alias Baelfire [2][4]. Emma Swan is Henry's mother [2][3].",Neal Cassidy is also known by the alias Baelfire.,"Henry Mills' biological father is Neal Cassidy, who is also known by the alias Baelfire [2][4]. ","doc2,doc4",
128,18,gemma-4-e4b,Who's henry's father in once upon a time?,"Henry Mills' biological father is Neal Cassidy, who is also known by the alias Baelfire [2][4]. Emma Swan is Henry's mother [2][3].",Emma Swan is Henry's mother.,Emma Swan is Henry's mother [2][3].,"doc2,doc3",
129,19,llama-3.1-8b,When was the commission fir sc/st established?,"The Commission for Scheduled Castes and Scheduled Tribes, also known as the Commissioner for SCs and STs, was initially established in August 1978 with the functions of advising the government on broad policy issues and the development levels of SCs and STs [1]. However, in 1992, it was replaced by the National Commission for SCs and STs, which was constituted in March of that year [2]. This commission was later divided into two separate commissions, the National Commission for Scheduled Castes and the National Commission for Scheduled Tribes, in 2003.",The Commission for Scheduled Castes and Scheduled Tribes is also known as the Commissioner for SCs and STs.,"The Commission for Scheduled Castes and Scheduled Tribes, also known as the Commissioner for SCs and STs, was initially established in August 1978 with the functions of advising the government on broad policy issues and the development levels of SCs and STs [1]. ",doc1,
130,19,llama-3.1-8b,When was the commission fir sc/st established?,"The Commission for Scheduled Castes and Scheduled Tribes, also known as the Commissioner for SCs and STs, was initially established in August 1978 with the functions of advising the government on broad policy issues and the development levels of SCs and STs [1]. However, in 1992, it was replaced by the National Commission for SCs and STs, which was constituted in March of that year [2]. This commission was later divided into two separate commissions, the National Commission for Scheduled Castes and the National Commission for Scheduled Tribes, in 2003.",The Commission for Scheduled Castes and Scheduled Tribes was initially established in August 1978.,"The Commission for Scheduled Castes and Scheduled Tribes, also known as the Commissioner for SCs and STs, was initially established in August 1978 with the functions of advising the government on broad policy issues and the development levels of SCs and STs [1]. ",doc1,
131,19,llama-3.1-8b,When was the commission fir sc/st established?,"The Commission for Scheduled Castes and Scheduled Tribes, also known as the Commissioner for SCs and STs, was initially established in August 1978 with the functions of advising the government on broad policy issues and the development levels of SCs and STs [1]. However, in 1992, it was replaced by the National Commission for SCs and STs, which was constituted in March of that year [2]. This commission was later divided into two separate commissions, the National Commission for Scheduled Castes and the National Commission for Scheduled Tribes, in 2003.",The Commission for Scheduled Castes and Scheduled Tribes advises the government on broad policy issues.,"The Commission for Scheduled Castes and Scheduled Tribes, also known as the Commissioner for SCs and STs, was initially established in August 1978 with the functions of advising the government on broad policy issues and the development levels of SCs and STs [1]. ",doc1,
132,19,llama-3.1-8b,When was the commission fir sc/st established?,"The Commission for Scheduled Castes and Scheduled Tribes, also known as the Commissioner for SCs and STs, was initially established in August 1978 with the functions of advising the government on broad policy issues and the development levels of SCs and STs [1]. However, in 1992, it was replaced by the National Commission for SCs and STs, which was constituted in March of that year [2]. This commission was later divided into two separate commissions, the National Commission for Scheduled Castes and the National Commission for Scheduled Tribes, in 2003.",The Commission for Scheduled Castes and Scheduled Tribes advises the government on the development levels of SCs and STs.,"The Commission for Scheduled Castes and Scheduled Tribes, also known as the Commissioner for SCs and STs, was initially established in August 1978 with the functions of advising the government on broad policy issues and the development levels of SCs and STs [1]. ",doc1,
133,19,llama-3.1-8b,When was the commission fir sc/st established?,"The Commission for Scheduled Castes and Scheduled Tribes, also known as the Commissioner for SCs and STs, was initially established in August 1978 with the functions of advising the government on broad policy issues and the development levels of SCs and STs [1]. However, in 1992, it was replaced by the National Commission for SCs and STs, which was constituted in March of that year [2]. This commission was later divided into two separate commissions, the National Commission for Scheduled Castes and the National Commission for Scheduled Tribes, in 2003.",The National Commission for SCs and STs replaced the Commission for Scheduled Castes and Scheduled Tribes in 1992.,"However, in 1992, it was replaced by the National Commission for SCs and STs, which was constituted in March of that year [2]. ",doc2,
134,19,llama-3.1-8b,When was the commission fir sc/st established?,"The Commission for Scheduled Castes and Scheduled Tribes, also known as the Commissioner for SCs and STs, was initially established in August 1978 with the functions of advising the government on broad policy issues and the development levels of SCs and STs [1]. However, in 1992, it was replaced by the National Commission for SCs and STs, which was constituted in March of that year [2]. This commission was later divided into two separate commissions, the National Commission for Scheduled Castes and the National Commission for Scheduled Tribes, in 2003.",The National Commission for SCs and STs was constituted in March 1992.,"However, in 1992, it was replaced by the National Commission for SCs and STs, which was constituted in March of that year [2]. ",doc2,
135,19,llama-3.1-8b,When was the commission fir sc/st established?,"The Commission for Scheduled Castes and Scheduled Tribes, also known as the Commissioner for SCs and STs, was initially established in August 1978 with the functions of advising the government on broad policy issues and the development levels of SCs and STs [1]. However, in 1992, it was replaced by the National Commission for SCs and STs, which was constituted in March of that year [2]. This commission was later divided into two separate commissions, the National Commission for Scheduled Castes and the National Commission for Scheduled Tribes, in 2003.",The National Commission for SCs and STs was divided into two separate commissions in 2003.,"This commission was later divided into two separate commissions, the National Commission for Scheduled Castes and the National Commission for Scheduled Tribes, in 2003.",,
136,19,llama-3.1-8b,When was the commission fir sc/st established?,"The Commission for Scheduled Castes and Scheduled Tribes, also known as the Commissioner for SCs and STs, was initially established in August 1978 with the functions of advising the government on broad policy issues and the development levels of SCs and STs [1]. However, in 1992, it was replaced by the National Commission for SCs and STs, which was constituted in March of that year [2]. This commission was later divided into two separate commissions, the National Commission for Scheduled Castes and the National Commission for Scheduled Tribes, in 2003.",One of the separate commissions is the National Commission for Scheduled Castes.,"This commission was later divided into two separate commissions, the National Commission for Scheduled Castes and the National Commission for Scheduled Tribes, in 2003.",,
137,19,llama-3.1-8b,When was the commission fir sc/st established?,"The Commission for Scheduled Castes and Scheduled Tribes, also known as the Commissioner for SCs and STs, was initially established in August 1978 with the functions of advising the government on broad policy issues and the development levels of SCs and STs [1]. However, in 1992, it was replaced by the National Commission for SCs and STs, which was constituted in March of that year [2]. This commission was later divided into two separate commissions, the National Commission for Scheduled Castes and the National Commission for Scheduled Tribes, in 2003.",The other separate commission is the National Commission for Scheduled Tribes.,"This commission was later divided into two separate commissions, the National Commission for Scheduled Castes and the National Commission for Scheduled Tribes, in 2003.",,
138,20,qwen3-8b,When did the kim family come to power?,The Kim family came to power in 1948 when Kim Il-sung became the leader of North Korea following the division of the Korean Peninsula after World War II [1]. He established the Democratic People's Republic of Korea (North Korea) and began his rule as its first leader [2]. This marked the start of the Kim dynasty's three-generation dominance in North Korea [4].,The Kim family came to power in 1948.,The Kim family came to power in 1948 when Kim Il-sung became the leader of North Korea following the division of the Korean Peninsula after World War II [1]. ,doc1,
139,20,qwen3-8b,When did the kim family come to power?,The Kim family came to power in 1948 when Kim Il-sung became the leader of North Korea following the division of the Korean Peninsula after World War II [1]. He established the Democratic People's Republic of Korea (North Korea) and began his rule as its first leader [2]. This marked the start of the Kim dynasty's three-generation dominance in North Korea [4].,Kim Il-sung became the leader of North Korea in 1948.,The Kim family came to power in 1948 when Kim Il-sung became the leader of North Korea following the division of the Korean Peninsula after World War II [1]. ,doc1,
140,20,qwen3-8b,When did the kim family come to power?,The Kim family came to power in 1948 when Kim Il-sung became the leader of North Korea following the division of the Korean Peninsula after World War II [1]. He established the Democratic People's Republic of Korea (North Korea) and began his rule as its first leader [2]. This marked the start of the Kim dynasty's three-generation dominance in North Korea [4].,The Korean Peninsula was divided after World War II.,The Kim family came to power in 1948 when Kim Il-sung became the leader of North Korea following the division of the Korean Peninsula after World War II [1]. ,doc1,
141,20,qwen3-8b,When did the kim family come to power?,The Kim family came to power in 1948 when Kim Il-sung became the leader of North Korea following the division of the Korean Peninsula after World War II [1]. He established the Democratic People's Republic of Korea (North Korea) and began his rule as its first leader [2]. This marked the start of the Kim dynasty's three-generation dominance in North Korea [4].,Kim Il-sung established the Democratic People's Republic of Korea.,He established the Democratic People's Republic of Korea (North Korea) and began his rule as its first leader [2]. ,doc2,
142,20,qwen3-8b,When did the kim family come to power?,The Kim family came to power in 1948 when Kim Il-sung became the leader of North Korea following the division of the Korean Peninsula after World War II [1]. He established the Democratic People's Republic of Korea (North Korea) and began his rule as its first leader [2]. This marked the start of the Kim dynasty's three-generation dominance in North Korea [4].,The Democratic People's Republic of Korea is North Korea.,He established the Democratic People's Republic of Korea (North Korea) and began his rule as its first leader [2]. ,doc2,
143,20,qwen3-8b,When did the kim family come to power?,The Kim family came to power in 1948 when Kim Il-sung became the leader of North Korea following the division of the Korean Peninsula after World War II [1]. He established the Democratic People's Republic of Korea (North Korea) and began his rule as its first leader [2]. This marked the start of the Kim dynasty's three-generation dominance in North Korea [4].,Kim Il-sung was the first leader of North Korea.,The Kim family came to power in 1948 when Kim Il-sung became the leader of North Korea following the division of the Korean Peninsula after World War II [1]. ,doc1,
144,20,qwen3-8b,When did the kim family come to power?,The Kim family came to power in 1948 when Kim Il-sung became the leader of North Korea following the division of the Korean Peninsula after World War II [1]. He established the Democratic People's Republic of Korea (North Korea) and began his rule as its first leader [2]. This marked the start of the Kim dynasty's three-generation dominance in North Korea [4].,This marked the start of the Kim dynasty's dominance in North Korea.,This marked the start of the Kim dynasty's three-generation dominance in North Korea [4].,doc4,
145,20,qwen3-8b,When did the kim family come to power?,The Kim family came to power in 1948 when Kim Il-sung became the leader of North Korea following the division of the Korean Peninsula after World War II [1]. He established the Democratic People's Republic of Korea (North Korea) and began his rule as its first leader [2]. This marked the start of the Kim dynasty's three-generation dominance in North Korea [4].,The Kim dynasty's dominance in North Korea lasted for three generations.,This marked the start of the Kim dynasty's three-generation dominance in North Korea [4].,doc4,
146,21,gemma-4-e4b,Who is the best rushing quarterback of all time?,"Debate exists regarding who is the best rushing quarterback of all time, with strong cases presented for Randall Cunningham and Steve Young [5]. Cunningham held the NFL record for rushing yards and carries for the quarterback position, accumulating 4,928 rushing yards and 35 touchdowns before retiring in 2001 [3, 4].

Conversely, Steve Young was praised for possessing ""explosive speed combined with deadly accuracy"" [5]. While Cunningham surpassed Young in career rushing yards, Young held the record for most career rushing touchdowns by a quarterback (43) until 2016 [4].",Debate exists regarding who is the best rushing quarterback of all time.,"Debate exists regarding who is the best rushing quarterback of all time, with strong cases presented for Randall Cunningham and Steve Young [5]. ",doc5,
147,21,gemma-4-e4b,Who is the best rushing quarterback of all time?,"Debate exists regarding who is the best rushing quarterback of all time, with strong cases presented for Randall Cunningham and Steve Young [5]. Cunningham held the NFL record for rushing yards and carries for the quarterback position, accumulating 4,928 rushing yards and 35 touchdowns before retiring in 2001 [3, 4].

Conversely, Steve Young was praised for possessing ""explosive speed combined with deadly accuracy"" [5]. While Cunningham surpassed Young in career rushing yards, Young held the record for most career rushing touchdowns by a quarterback (43) until 2016 [4].",Randall Cunningham has a strong case for being the best rushing quarterback of all time.,"Debate exists regarding who is the best rushing quarterback of all time, with strong cases presented for Randall Cunningham and Steve Young [5]. ",doc5,
148,21,gemma-4-e4b,Who is the best rushing quarterback of all time?,"Debate exists regarding who is the best rushing quarterback of all time, with strong cases presented for Randall Cunningham and Steve Young [5]. Cunningham held the NFL record for rushing yards and carries for the quarterback position, accumulating 4,928 rushing yards and 35 touchdowns before retiring in 2001 [3, 4].

Conversely, Steve Young was praised for possessing ""explosive speed combined with deadly accuracy"" [5]. While Cunningham surpassed Young in career rushing yards, Young held the record for most career rushing touchdowns by a quarterback (43) until 2016 [4].",Steve Young has a strong case for being the best rushing quarterback of all time.,"Debate exists regarding who is the best rushing quarterback of all time, with strong cases presented for Randall Cunningham and Steve Young [5]. ",doc5,
149,21,gemma-4-e4b,Who is the best rushing quarterback of all time?,"Debate exists regarding who is the best rushing quarterback of all time, with strong cases presented for Randall Cunningham and Steve Young [5]. Cunningham held the NFL record for rushing yards and carries for the quarterback position, accumulating 4,928 rushing yards and 35 touchdowns before retiring in 2001 [3, 4].

Conversely, Steve Young was praised for possessing ""explosive speed combined with deadly accuracy"" [5]. While Cunningham surpassed Young in career rushing yards, Young held the record for most career rushing touchdowns by a quarterback (43) until 2016 [4].",Cunningham held the NFL record for rushing yards for the quarterback position.,"Cunningham held the NFL record for rushing yards and carries for the quarterback position, accumulating 4,928 rushing yards and 35 touchdowns before retiring in 2001 [3, 4].

","doc3,doc4",
150,21,gemma-4-e4b,Who is the best rushing quarterback of all time?,"Debate exists regarding who is the best rushing quarterback of all time, with strong cases presented for Randall Cunningham and Steve Young [5]. Cunningham held the NFL record for rushing yards and carries for the quarterback position, accumulating 4,928 rushing yards and 35 touchdowns before retiring in 2001 [3, 4].

Conversely, Steve Young was praised for possessing ""explosive speed combined with deadly accuracy"" [5]. While Cunningham surpassed Young in career rushing yards, Young held the record for most career rushing touchdowns by a quarterback (43) until 2016 [4].",Cunningham held the NFL record for carries for the quarterback position.,"Cunningham held the NFL record for rushing yards and carries for the quarterback position, accumulating 4,928 rushing yards and 35 touchdowns before retiring in 2001 [3, 4].

","doc3,doc4",
151,21,gemma-4-e4b,Who is the best rushing quarterback of all time?,"Debate exists regarding who is the best rushing quarterback of all time, with strong cases presented for Randall Cunningham and Steve Young [5]. Cunningham held the NFL record for rushing yards and carries for the quarterback position, accumulating 4,928 rushing yards and 35 touchdowns before retiring in 2001 [3, 4].

Conversely, Steve Young was praised for possessing ""explosive speed combined with deadly accuracy"" [5]. While Cunningham surpassed Young in career rushing yards, Young held the record for most career rushing touchdowns by a quarterback (43) until 2016 [4].","Cunningham accumulated 4,928 rushing yards.","Cunningham held the NFL record for rushing yards and carries for the quarterback position, accumulating 4,928 rushing yards and 35 touchdowns before retiring in 2001 [3, 4].

","doc3,doc4",
152,21,gemma-4-e4b,Who is the best rushing quarterback of all time?,"Debate exists regarding who is the best rushing quarterback of all time, with strong cases presented for Randall Cunningham and Steve Young [5]. Cunningham held the NFL record for rushing yards and carries for the quarterback position, accumulating 4,928 rushing yards and 35 touchdowns before retiring in 2001 [3, 4].

Conversely, Steve Young was praised for possessing ""explosive speed combined with deadly accuracy"" [5]. While Cunningham surpassed Young in career rushing yards, Young held the record for most career rushing touchdowns by a quarterback (43) until 2016 [4].",Cunningham accumulated 35 rushing touchdowns.,"Cunningham held the NFL record for rushing yards and carries for the quarterback position, accumulating 4,928 rushing yards and 35 touchdowns before retiring in 2001 [3, 4].

","doc3,doc4",
153,21,gemma-4-e4b,Who is the best rushing quarterback of all time?,"Debate exists regarding who is the best rushing quarterback of all time, with strong cases presented for Randall Cunningham and Steve Young [5]. Cunningham held the NFL record for rushing yards and carries for the quarterback position, accumulating 4,928 rushing yards and 35 touchdowns before retiring in 2001 [3, 4].

Conversely, Steve Young was praised for possessing ""explosive speed combined with deadly accuracy"" [5]. While Cunningham surpassed Young in career rushing yards, Young held the record for most career rushing touchdowns by a quarterback (43) until 2016 [4].",Cunningham retired in 2001.,"Cunningham held the NFL record for rushing yards and carries for the quarterback position, accumulating 4,928 rushing yards and 35 touchdowns before retiring in 2001 [3, 4].

","doc3,doc4",
154,21,gemma-4-e4b,Who is the best rushing quarterback of all time?,"Debate exists regarding who is the best rushing quarterback of all time, with strong cases presented for Randall Cunningham and Steve Young [5]. Cunningham held the NFL record for rushing yards and carries for the quarterback position, accumulating 4,928 rushing yards and 35 touchdowns before retiring in 2001 [3, 4].

Conversely, Steve Young was praised for possessing ""explosive speed combined with deadly accuracy"" [5]. While Cunningham surpassed Young in career rushing yards, Young held the record for most career rushing touchdowns by a quarterback (43) until 2016 [4].",Steve Young was praised for possessing explosive speed.,"Conversely, Steve Young was praised for possessing ""explosive speed combined with deadly accuracy"" [5]. ",doc5,
155,21,gemma-4-e4b,Who is the best rushing quarterback of all time?,"Debate exists regarding who is the best rushing quarterback of all time, with strong cases presented for Randall Cunningham and Steve Young [5]. Cunningham held the NFL record for rushing yards and carries for the quarterback position, accumulating 4,928 rushing yards and 35 touchdowns before retiring in 2001 [3, 4].

Conversely, Steve Young was praised for possessing ""explosive speed combined with deadly accuracy"" [5]. While Cunningham surpassed Young in career rushing yards, Young held the record for most career rushing touchdowns by a quarterback (43) until 2016 [4].",Steve Young was praised for possessing deadly accuracy.,"Conversely, Steve Young was praised for possessing ""explosive speed combined with deadly accuracy"" [5]. ",doc5,
156,21,gemma-4-e4b,Who is the best rushing quarterback of all time?,"Debate exists regarding who is the best rushing quarterback of all time, with strong cases presented for Randall Cunningham and Steve Young [5]. Cunningham held the NFL record for rushing yards and carries for the quarterback position, accumulating 4,928 rushing yards and 35 touchdowns before retiring in 2001 [3, 4].

Conversely, Steve Young was praised for possessing ""explosive speed combined with deadly accuracy"" [5]. While Cunningham surpassed Young in career rushing yards, Young held the record for most career rushing touchdowns by a quarterback (43) until 2016 [4].",Cunningham surpassed Young in career rushing yards.,"While Cunningham surpassed Young in career rushing yards, Young held the record for most career rushing touchdowns by a quarterback (43) until 2016 [4].",doc4,
157,21,gemma-4-e4b,Who is the best rushing quarterback of all time?,"Debate exists regarding who is the best rushing quarterback of all time, with strong cases presented for Randall Cunningham and Steve Young [5]. Cunningham held the NFL record for rushing yards and carries for the quarterback position, accumulating 4,928 rushing yards and 35 touchdowns before retiring in 2001 [3, 4].

Conversely, Steve Young was praised for possessing ""explosive speed combined with deadly accuracy"" [5]. While Cunningham surpassed Young in career rushing yards, Young held the record for most career rushing touchdowns by a quarterback (43) until 2016 [4].",Young held the record for most career rushing touchdowns by a quarterback.,"While Cunningham surpassed Young in career rushing yards, Young held the record for most career rushing touchdowns by a quarterback (43) until 2016 [4].",doc4,
158,21,gemma-4-e4b,Who is the best rushing quarterback of all time?,"Debate exists regarding who is the best rushing quarterback of all time, with strong cases presented for Randall Cunningham and Steve Young [5]. Cunningham held the NFL record for rushing yards and carries for the quarterback position, accumulating 4,928 rushing yards and 35 touchdowns before retiring in 2001 [3, 4].

Conversely, Steve Young was praised for possessing ""explosive speed combined with deadly accuracy"" [5]. While Cunningham surpassed Young in career rushing yards, Young held the record for most career rushing touchdowns by a quarterback (43) until 2016 [4].",Young's record for career rushing touchdowns was 43.,"While Cunningham surpassed Young in career rushing yards, Young held the record for most career rushing touchdowns by a quarterback (43) until 2016 [4].",doc4,
159,21,gemma-4-e4b,Who is the best rushing quarterback of all time?,"Debate exists regarding who is the best rushing quarterback of all time, with strong cases presented for Randall Cunningham and Steve Young [5]. Cunningham held the NFL record for rushing yards and carries for the quarterback position, accumulating 4,928 rushing yards and 35 touchdowns before retiring in 2001 [3, 4].

Conversely, Steve Young was praised for possessing ""explosive speed combined with deadly accuracy"" [5]. While Cunningham surpassed Young in career rushing yards, Young held the record for most career rushing touchdowns by a quarterback (43) until 2016 [4].",Young held this record until 2016.,"While Cunningham surpassed Young in career rushing yards, Young held the record for most career rushing touchdowns by a quarterback (43) until 2016 [4].",doc4,
160,22,llama-3.1-8b,How many square feet is a studio apartment?,The average size of a studio apartment in the United States is 500 to 600 square feet (46-56 square meters) [1].,The average size of a studio apartment in the United States is 500 to 600 square feet.,The average size of a studio apartment in the United States is 500 to 600 square feet (46-56 square meters) [1].,doc1,
161,22,llama-3.1-8b,How many square feet is a studio apartment?,The average size of a studio apartment in the United States is 500 to 600 square feet (46-56 square meters) [1].,500 to 600 square feet is equivalent to 46-56 square meters.,The average size of a studio apartment in the United States is 500 to 600 square feet (46-56 square meters) [1].,doc1,
162,23,qwen3-8b,Who does sam marry in foyle's war?,"The provided documents do not mention a character named Sam from *Foyle's War* or any marital details related to the series. *Foyle's War* is a British television series set in 1940s London, centered on Inspector Frank Foyle, and does not feature a character named Sam in the context of marriage. The documents reference various individuals named Sam from unrelated contexts (e.g., Sam Aleni, Samwise Gamgee, Sam Nixon, etc.), but none pertain to *Foyle's War*.",The provided documents do not mention a character named Sam from Foyle's War.,The provided documents do not mention a character named Sam from *Foyle's War* or any marital details related to the series. ,,
163,23,qwen3-8b,Who does sam marry in foyle's war?,"The provided documents do not mention a character named Sam from *Foyle's War* or any marital details related to the series. *Foyle's War* is a British television series set in 1940s London, centered on Inspector Frank Foyle, and does not feature a character named Sam in the context of marriage. The documents reference various individuals named Sam from unrelated contexts (e.g., Sam Aleni, Samwise Gamgee, Sam Nixon, etc.), but none pertain to *Foyle's War*.",The provided documents do not mention any marital details related to the series.,The provided documents do not mention a character named Sam from *Foyle's War* or any marital details related to the series. ,,
164,23,qwen3-8b,Who does sam marry in foyle's war?,"The provided documents do not mention a character named Sam from *Foyle's War* or any marital details related to the series. *Foyle's War* is a British television series set in 1940s London, centered on Inspector Frank Foyle, and does not feature a character named Sam in the context of marriage. The documents reference various individuals named Sam from unrelated contexts (e.g., Sam Aleni, Samwise Gamgee, Sam Nixon, etc.), but none pertain to *Foyle's War*.",Foyle's War is a British television series.,"*Foyle's War* is a British television series set in 1940s London, centered on Inspector Frank Foyle, and does not feature a character named Sam in the context of marriage. ",,
165,23,qwen3-8b,Who does sam marry in foyle's war?,"The provided documents do not mention a character named Sam from *Foyle's War* or any marital details related to the series. *Foyle's War* is a British television series set in 1940s London, centered on Inspector Frank Foyle, and does not feature a character named Sam in the context of marriage. The documents reference various individuals named Sam from unrelated contexts (e.g., Sam Aleni, Samwise Gamgee, Sam Nixon, etc.), but none pertain to *Foyle's War*.",Foyle's War is set in 1940s London.,"*Foyle's War* is a British television series set in 1940s London, centered on Inspector Frank Foyle, and does not feature a character named Sam in the context of marriage. ",,
166,23,qwen3-8b,Who does sam marry in foyle's war?,"The provided documents do not mention a character named Sam from *Foyle's War* or any marital details related to the series. *Foyle's War* is a British television series set in 1940s London, centered on Inspector Frank Foyle, and does not feature a character named Sam in the context of marriage. The documents reference various individuals named Sam from unrelated contexts (e.g., Sam Aleni, Samwise Gamgee, Sam Nixon, etc.), but none pertain to *Foyle's War*.",Foyle's War is centered on Inspector Frank Foyle.,"*Foyle's War* is a British television series set in 1940s London, centered on Inspector Frank Foyle, and does not feature a character named Sam in the context of marriage. ",,
167,23,qwen3-8b,Who does sam marry in foyle's war?,"The provided documents do not mention a character named Sam from *Foyle's War* or any marital details related to the series. *Foyle's War* is a British television series set in 1940s London, centered on Inspector Frank Foyle, and does not feature a character named Sam in the context of marriage. The documents reference various individuals named Sam from unrelated contexts (e.g., Sam Aleni, Samwise Gamgee, Sam Nixon, etc.), but none pertain to *Foyle's War*.",Foyle's War does not feature a character named Sam in the context of marriage.,"*Foyle's War* is a British television series set in 1940s London, centered on Inspector Frank Foyle, and does not feature a character named Sam in the context of marriage. ",,
168,23,qwen3-8b,Who does sam marry in foyle's war?,"The provided documents do not mention a character named Sam from *Foyle's War* or any marital details related to the series. *Foyle's War* is a British television series set in 1940s London, centered on Inspector Frank Foyle, and does not feature a character named Sam in the context of marriage. The documents reference various individuals named Sam from unrelated contexts (e.g., Sam Aleni, Samwise Gamgee, Sam Nixon, etc.), but none pertain to *Foyle's War*.",The documents reference various individuals named Sam from unrelated contexts.,"The documents reference various individuals named Sam from unrelated contexts (e.g., Sam Aleni, Samwise Gamgee, Sam Nixon, etc.), but none pertain to *Foyle's War*.",,
