pair_id,claim,doc_id,doc_title,doc_text_truncated,human_label
88,The Statue of Liberty was disassembled and crated for its ocean voyage.,388731,Statue of Liberty,"Suez Canal. The completed statue was formally presented to Ambassador Morton at a ceremony in Paris on July 4, 1884, and de Lesseps announced that the French government had agreed to pay for its transport to New York. The statue remained intact in Paris pending sufficient progress on the pedestal; b",SUPPORTED
89,The solid part of the Earth is called the lithosphere.,656958,Geophysics,"S-waves in the outer core. This indicates that the outer core is liquid, because liquids cannot support shear. The outer core is liquid, and the motion of this highly conductive fluid generates the Earth's field. The inner core, however, is solid because of the enormous pressure. Reconstruction of s",UNCLEAR
90,Tod Hackett is originally from the east coast.,2217956,The Day of the Locust,"maturity as a writer."" Gehman calls the novel ""episodic in structure, but panoramic in form."" West's characters are intentionally shallow, stereotyped, and ""derive from all the B-grade genre films of the period"" (Simon, 523). They are what Light calls ""grotesques"". Tod Hackett's first name is a deri",UNCLEAR
91,"John Denver recorded the song ""Sunshine on My Shoulders"".",7677992,Sunshine on My Shoulders,"Home: The John Denver Story"" (2000) it is played when Denver (Chad Lowe) takes his new glider out for a Test flight. This final scene is based on the real life event that killed Denver in 1997. The 1996 re-recorded version is the one played. The song was covered by Canadian singer/songwriter Carly R",SUPPORTED
92,William Sheeran was a Protestant from Belfast.,19940753,Nancy Mulligan,"Hopefully if these songs are successful, more people will do a bit more like it."" In 2017, the song was covered by the Irish country singer Mike Denver with an accompanying music video. Sheeran performed the song, backed on stage by Beoga, during his headline performance at the Glastonbury Festival.",UNCLEAR
93,These notes entered circulation in early 2014.,20105279,United States two-dollar bill,"people mistakenly believe that the 1976 series note with its unusual reverse design was a special, limited issue, produced for the United States Bicentennial. This, combined with the earlier discontinuation of the denomination, gave the impression these notes might be valuable as collector's items, ",UNCLEAR
94,"Southeast Texas receives an average of 1,500 mm of rainfall per year.",10420716,Climate of Texas,might receive only of precipitation; average annual precipitation ranges from in western sections up to in southeast. The wettest months of the year are April and May. The Piney Woods is the eastern region of Texas and is within the humid subtropical climate zone. It receives the most rainfall; more,UNCLEAR
95,The flat iron cut of meat originates from the infraspinatus muscles.,4699267,Flat iron steak,"the original flat iron cut was identified in 2002 as part of a National Cattlemen's Beef Association initiative, in conjunction with the University of Nebraska and the University of Florida to find lower-priced cuts which could be trimmed into steaks and roasts. Flat iron steak Flat iron steak (US),",UNCLEAR
96,Elon Musk is the founder and CEO of Tesla [1].,2909435,Studio apartment,"or studio flats. There are several types available; the straight studio is very basic, while the alcove studio has a wing. The wing or nook is off the main area, which can be utilized for dining or sleeping. Studio apartment sizes vary considerably. In the United States, the average size is 500 to 6",UNCLEAR
97,The Golden State Warriors won the NBA Finals in 2018.,3569476,NBA Finals,"season, while the Warriors largely remained intact. Neither Cleveland nor Golden State earned the top playoff seed in the 2017-18 season. Both teams fell to 3-2 deficits in their respective Conference Finals, before both winning game 7s to ensure the rematch for a fourth consecutive Finals in 2018. ",UNCLEAR
98,Helena is betrothed to Demetrius.,4691851,Helena (A Midsummer Night's Dream),"Helena (A Midsummer Night's Dream) Helena is a fictional character and one of the four young lovers – Demetrius, Lysander, Hermia and Helena – featured in William Shakespeare's play ""A Midsummer Night's Dream"". She is the daughter of Nedar, and a friend of Hermia (with whom she often compares hersel",SUPPORTED
99,The Pure Food and Drug Act aimed at ensuring consumer safety.,17022402,Seafood mislabelling,"requirement for certain types of products, such as fish. The first direct statutory regulation of food labeling did not take effect until January 1, 1907. The 59th Congress of the United States passed, and President Theodore Roosevelt signed into law, the nation's first act regulating food and safet",SUPPORTED
