row_id,example_id,model,question,answer,matched_sentence,extracted_claim,correct,notes
52,71,openrouter/google/gemma-4-26b-a4b-it,Where is the minnehaha academy located in minneapolis?,"Minnehaha Academy is located in the Cooper and Hiawatha neighborhoods on West River Parkway in Minneapolis, Minnesota [1]. There are two campuses: the South Campus for preschool through 8th graders, located at the original location, and the North Campus, for 9th through 12th graders, also located in the Cooper and Hiawatha neighborhoods [1].","There are two campuses: the South Campus for preschool through 8th graders, located at the original location, and the North Campus, for 9th through 12th graders, also located in the Cooper and Hiawatha neighborhoods [1].",The North Campus is located in the Cooper neighborhood.,1,not selfcomplete
53,225,openrouter/google/gemma-4-26b-a4b-it,When was the statue of liberty delivered to the united states?,"The Statue of Liberty was formally delivered to the American minister in Paris on July 4, 1880 [3]. However, the statue itself was transported to New York Harbor and arrived on June 17, 1885, on board the French frigate ""Isère"" [1]. It was installed on Bedloe's Island in New York Harbor in October 1886, and officially dedicated on October 28, 1886 [3][5].","However, the statue itself was transported to New York Harbor and arrived on June 17, 1885, on board the French frigate ""Isère"" [1]. ","The statue arrived on June 17, 1885.",1,not selfcomplete
54,759,openrouter/google/gemma-4-26b-a4b-it,Movie with the song sunshine on my shoulders?,"The song ""Sunshine on My Shoulders"" was featured in the 1973 made-for-television movie ""Sunshine"" [1], which told the story of a young mother dying from cancer, and starred Cliff DeYoung and Cristina Raines. The movie was later followed by a short-lived television series also titled ""Sunshine"" that ran for three months in 1974 [4].","The movie was later followed by a short-lived television series also titled ""Sunshine"" that ran for three months in 1974 [4].",A television series titled 'Sunshine' followed the movie.,1,
55,270,openrouter/google/gemma-4-26b-a4b-it,Who elects the president of the european parliament?,"The European Parliament elects the President of the European Commission, not the President of the European Parliament [5]. The President of the European Parliament, however, is elected by the members of the European Parliament in a secret ballot [2].","The President of the European Parliament, however, is elected by the members of the European Parliament in a secret ballot [2].",The members of the European Parliament elect the President of the European Parliament.,1,
56,281,openrouter/google/gemma-4-26b-a4b-it,Who is the best rushing quarterback of all time?,"Randall Cunningham is often considered the best rushing quarterback of all time. He held the record for most career rushing yards by a quarterback, with 4,928 yards, until it was broken by Michael Vick, and was also a key contributor with 35 rushing touchdowns [3].","He held the record for most career rushing yards by a quarterback, with 4,928 yards, until it was broken by Michael Vick, and was also a key contributor with 35 rushing touchdowns [3].",Randall Cunningham had 35 rushing touchdowns.,1,
57,163,openrouter/google/gemma-4-26b-a4b-it,Present chairman of public accounts committee of lok sabha?,The current chairman of the Public Accounts Committee of Lok Sabha is Mallikarjun Kharge [1].,The current chairman of the Public Accounts Committee of Lok Sabha is Mallikarjun Kharge [1].,Mallikarjun Kharge is the current chairman of the Public Accounts Committee.,1,
58,747,openrouter/google/gemma-4-26b-a4b-it,When was the last world cup that brazil won?,"The last World Cup that Brazil won was in 2002, however it's not clearly stated in the given documents. However the closest information given is that their struggles ended at the 1994 tournament in the United States, where a solid, if unspectacular, side headed by Romário, Bebeto, Dunga, Taffarel and Jorginho, won the World Cup for a then-record fourth time, but not more recent than that and also that they won their third World Cup in Mexico at the 1970 World Cup and the 4th World Cup, at the 1994 tournament [1][2].","However the closest information given is that their struggles ended at the 1994 tournament in the United States, where a solid, if unspectacular, side headed by Romário, Bebeto, Dunga, Taffarel and Jorginho, won the World Cup for a then-record fourth time, but not more recent than that and also that they won their third World Cup in Mexico at the 1970 World Cup and the 4th World Cup, at the 1994 tournament [1][2].",The third World Cup win occurred at the 1970 World Cup.,1,
59,643,openrouter/google/gemma-4-26b-a4b-it,When did the financial crisis start in 2008?,"The financial crisis of 2007-2008 began in 2007 with a crisis in the subprime mortgage market in the United States, and developed into a full-blown international banking crisis with the collapse of the investment bank Lehman Brothers on September 15, 2008 [1][2]. However, the crisis reached a critical stage during the first week of September 2008, characterized by severely contracted liquidity in the global credit markets and insolvency threats to investment banks and other institutions [4][5].","The financial crisis of 2007-2008 began in 2007 with a crisis in the subprime mortgage market in the United States, and developed into a full-blown international banking crisis with the collapse of the investment bank Lehman Brothers on September 15, 2008 [1][2]. ",The investment bank Lehman Brothers collapsed.,1,
60,89,openrouter/google/gemma-4-26b-a4b-it,When does the champions league group stage start?,"The exact start date of the Champions League group stage can vary from season to season. However, based on the information provided in the documents, it appears that the Champions League group stage typically takes place between late August and mid-December, with the first matchday usually occurring in mid-September and the final matchday in mid-December.

For example:
- The 2013-14 UEFA Champions League group stage was played from 17 September to 11 December 2013 [1].
- The 2017-18 UEFA Champions League group stage began on 12 September and ended on 6 December 2017 [3].
- The 2014-15 UEFA Champions League group stage was played from 16 September to 10 December 2014 [5].

Therefore, the Champions League group stage typically starts in mid-September and ends in mid-December.","Therefore, the Champions League group stage typically starts in mid-September and ends in mid-December.",The Champions League group stage typically ends in mid-December.,1,
61,89,openrouter/google/gemma-4-26b-a4b-it,When does the champions league group stage start?,"The exact start date of the Champions League group stage can vary from season to season. However, based on the information provided in the documents, it appears that the Champions League group stage typically takes place between late August and mid-December, with the first matchday usually occurring in mid-September and the final matchday in mid-December.

For example:
- The 2013-14 UEFA Champions League group stage was played from 17 September to 11 December 2013 [1].
- The 2017-18 UEFA Champions League group stage began on 12 September and ended on 6 December 2017 [3].
- The 2014-15 UEFA Champions League group stage was played from 16 September to 10 December 2014 [5].

Therefore, the Champions League group stage typically starts in mid-September and ends in mid-December.",The exact start date of the Champions League group stage can vary from season to season. ,The exact start date of the Champions League group stage can vary from season to season.,1,
62,389,openrouter/google/gemma-4-26b-a4b-it,When did harry potter and the sorcerer's stone movie come out?,"""Harry Potter and the Sorcerer's Stone"" (released as ""Harry Potter and the Philosopher's Stone"" in the United Kingdom and other countries) was released in the United States on November 16, 2001 [1].","""Harry Potter and the Sorcerer's Stone"" (released as ""Harry Potter and the Philosopher's Stone"" in the United Kingdom and other countries) was released in the United States on November 16, 2001 [1].","The book was released as ""Harry Potter and the Philosopher's Stone"" in other countries.",1,not selfcomplete
63,718,openrouter/google/gemma-4-26b-a4b-it,Where does the term cupboard love come from?,"The term ""cupboard love"" is a British idiom used in the United Kingdom and Australia to describe the selfish, greedy, or insincere affection displayed towards another person in order to get what they want [2]. This idiom is unrelated to the psychoanalytic learning theory of the same name, which suggests that attachment develops in early infancy through the satisfaction of instinctual needs, such as food [1].","The term ""cupboard love"" is a British idiom used in the United Kingdom and Australia to describe the selfish, greedy, or insincere affection displayed towards another person in order to get what they want [2]. ",The idiom is used in the United Kingdom.,1,not selfcomplete
64,699,openrouter/google/gemma-4-26b-a4b-it,Who were the two astronauts who stayed a year on the iss?,"The two astronauts who stayed a year on the International Space Station (ISS) were Scott Kelly and Mikhail Korniyenko. They launched on March 27, 2015, and spent 342 days in space, safely landing in Kazakhstan on March 2, 2016 [2]. This year-long mission, known as the One-Year Mission, aimed to study the health effects of long-term spaceflight and was part of the NASA Twins study.","This year-long mission, known as the One-Year Mission, aimed to study the health effects of long-term spaceflight and was part of the NASA Twins study.",The mission was known as the One-Year Mission.,1,
65,99,openrouter/google/gemma-4-26b-a4b-it,Who won the final hoh big brother 20?,"Unfortunately, the provided documents do not mention the winner of the final HOH (Head of Household) in Big Brother 20. However, according to multiple sources, Cody Calafiore won the title of Big Brother 20 in a final vote of 6-3, defeating Tyler Crispen [Not Provided].","However, according to multiple sources, Cody Calafiore won the title of Big Brother 20 in a final vote of 6-3, defeating Tyler Crispen [Not Provided].",Cody Calafiore defeated Tyler Crispen.,1,
66,379,openrouter/google/gemma-4-26b-a4b-it,What is the triangular shaped area at each end of the greek temple called?,"The triangular shaped area at each end of the Greek temple is called the ""pediment"" [1]. The pediment is framed by the cornices and contains the most significant sculptural decoration on the exterior of the building, often featuring scenes or battles [1].","The pediment is framed by the cornices and contains the most significant sculptural decoration on the exterior of the building, often featuring scenes or battles [1].",The pediment contains the most significant sculptural decoration on the exterior of the building.,1,
67,754,openrouter/google/gemma-4-26b-a4b-it,Who is won the most super bowl games?,"The Pittsburgh Steelers have the most Super Bowl championship titles, with six [1], however the question asks who won the most super bowl games which is different from the most super bowl titles. The answer would be the New England Patriots have appeared in the most Super Bowl games with 11, but the most Superbowl wins by a head coach is not among the given options; the given options do not contain the most frequent Superbowl game winner who is also not among the top Superbowl winners.","The answer would be the New England Patriots have appeared in the most Super Bowl games with 11, but the most Superbowl wins by a head coach is not among the given options; the given options do not contain the most frequent Superbowl game winner who is also not among the top Superbowl winners.",The most Super Bowl wins by a head coach is not among the given options.,1,
68,373,openrouter/google/gemma-4-26b-a4b-it,Who is the current environmental minister of india?,"The current Union Minister of Environment, Forest and Climate Change in India is Dr. Harsh Vardhan [1][2]. He has been holding the portfolio since it has not been changed in any of the given documents. However, as per my search I could find no data or mention of current office holders so my statement above is based solely on the information provided by the search results. 

Note: It is generally recommended to cross verify information on government positions with official government sources to ensure accuracy.","The current Union Minister of Environment, Forest and Climate Change in India is Dr. Harsh Vardhan [1][2]. ","Dr. Harsh Vardhan is the current Union Minister of Environment, Forest and Climate Change in India.",1,
69,142,openrouter/google/gemma-4-26b-a4b-it,Who wrote the song mary did you know?,"The song ""Mary, Did You Know?"" was written by Mark Lowry with music by Buddy Greene. Mark Lowry wrote the lyrics for the song in 1984 when he was asked to write a script for a church Christmas play, and he later worked with Buddy Greene to complete the song, which was originally recorded by Christian recording artist Michael English on his self-titled debut solo album in 1991 [1][3].","The song ""Mary, Did You Know?"" was written by Mark Lowry with music by Buddy Greene. ","The song is titled ""Mary, Did You Know?""",1,
70,754,openrouter/google/gemma-4-26b-a4b-it,Who is won the most super bowl games?,"The Pittsburgh Steelers have the most Super Bowl championship titles, with six [1], however the question asks who won the most super bowl games which is different from the most super bowl titles. The answer would be the New England Patriots have appeared in the most Super Bowl games with 11, but the most Superbowl wins by a head coach is not among the given options; the given options do not contain the most frequent Superbowl game winner who is also not among the top Superbowl winners.","The Pittsburgh Steelers have the most Super Bowl championship titles, with six [1], however the question asks who won the most super bowl games which is different from the most super bowl titles. ",The question asks who won the most Super Bowl games.,1,
71,432,openrouter/google/gemma-4-26b-a4b-it,What's the famous street in new orleans?,"The famous street in New Orleans is Bourbon Street [1], known for its many bars and strip clubs, as well as its rich history and cultural significance. Stretching 13 blocks from Canal to Esplanade Avenue, Bourbon Street is a main tourist attraction, welcoming 17.74 million visitors in 2017 alone.","Stretching 13 blocks from Canal to Esplanade Avenue, Bourbon Street is a main tourist attraction, welcoming 17.74 million visitors in 2017 alone.",Bourbon Street is a main tourist attraction.,1,
72,747,openrouter/google/gemma-4-26b-a4b-it,When was the last world cup that brazil won?,"The last World Cup that Brazil won was in 2002, however it's not clearly stated in the given documents. However the closest information given is that their struggles ended at the 1994 tournament in the United States, where a solid, if unspectacular, side headed by Romário, Bebeto, Dunga, Taffarel and Jorginho, won the World Cup for a then-record fourth time, but not more recent than that and also that they won their third World Cup in Mexico at the 1970 World Cup and the 4th World Cup, at the 1994 tournament [1][2].","However the closest information given is that their struggles ended at the 1994 tournament in the United States, where a solid, if unspectacular, side headed by Romário, Bebeto, Dunga, Taffarel and Jorginho, won the World Cup for a then-record fourth time, but not more recent than that and also that they won their third World Cup in Mexico at the 1970 World Cup and the 4th World Cup, at the 1994 tournament [1][2].",The 1994 win was a record fourth time.,1,not selfcomplete
73,228,openrouter/google/gemma-4-26b-a4b-it,Who's henry's father in once upon a time?,"Henry Mills' father is Baelfire, also known as Neal Cassidy, according to Document [4] and Document [5] as well as  Document [1] although not clearly stated,  as Emma Swan's husband and Henry's biological father.","Henry Mills' father is Baelfire, also known as Neal Cassidy, according to Document [4] and Document [5] as well as  Document [1] although not clearly stated,  as Emma Swan's husband and Henry's biological father.",Baelfire is Henry's biological father.,1,not selfcomplete
74,826,openrouter/google/gemma-4-26b-a4b-it,What is the average age to get married in south africa?,"The average age to get married in South Africa is not directly stated in the provided documents. However, Document [1] mentions that the mean age for first marriage has increased for males from 28.7 to 29.8 and for females from 26.2 to 27.5 over the last 10 years. Document [3] mentions that in some traditional marriages in South Africa, a person might be married as young as 12 for females and 14 for males. However, there is no clear indication of the average age to get married in modern South African society.","Document [3] mentions that in some traditional marriages in South Africa, a person might be married as young as 12 for females and 14 for males. ",Document [3] mentions some traditional marriages in South Africa.,1,
75,890,openrouter/google/gemma-4-26b-a4b-it,Who won the nba finals in the last four years?,"Here are the winners of the NBA Finals for the last four years (2016 to 2019) based on the provided information:

- 2016: Cleveland Cavaliers, who defeated the Golden State Warriors in seven games.
- 2017: Golden State Warriors, who defeated the Cleveland Cavaliers in five games.
- 2018: Golden State Warriors, who defeated the Cleveland Cavaliers in four games.
- 2019: (not mentioned in the documents, but for accuracy)  The Toronto Raptors, who defeated the Golden State Warriors in six games.","- 2016: Cleveland Cavaliers, who defeated the Golden State Warriors in seven games.
",The Cleveland Cavaliers defeated the Golden State Warriors in 2016.,1,
76,791,openrouter/google/gemma-4-26b-a4b-it,Where do lake huron and lake michigan meet?,"Lake Huron and Lake Michigan meet at the Straits of Mackinac, which is a wide and deep opening that connects the two lakes [1]. This connection allows for the free exchange of water between the two sides, making them hydrologically a single lake, known as Lake Michigan-Huron [1].","Lake Huron and Lake Michigan meet at the Straits of Mackinac, which is a wide and deep opening that connects the two lakes [1]. ",The Straits of Mackinac connects Lake Huron and Lake Michigan.,1,
77,370,openrouter/google/gemma-4-26b-a4b-it,Who owns the trump tower in new york?,"The Trump International Hotel and Tower in New York City is owned by the General Electric Pension Trust [1]. However, Trump Tower in New York City, which is the headquarters for The Trump Organization, is not mentioned as being owned by the General Electric Pension Trust in the provided documents.",The Trump International Hotel and Tower in New York City is owned by the General Electric Pension Trust [1]. ,The General Electric Pension Trust owns the Trump International Hotel and Tower.,1,
78,643,openrouter/google/gemma-4-26b-a4b-it,When did the financial crisis start in 2008?,"The financial crisis of 2007-2008 began in 2007 with a crisis in the subprime mortgage market in the United States, and developed into a full-blown international banking crisis with the collapse of the investment bank Lehman Brothers on September 15, 2008 [1][2]. However, the crisis reached a critical stage during the first week of September 2008, characterized by severely contracted liquidity in the global credit markets and insolvency threats to investment banks and other institutions [4][5].","The financial crisis of 2007-2008 began in 2007 with a crisis in the subprime mortgage market in the United States, and developed into a full-blown international banking crisis with the collapse of the investment bank Lehman Brothers on September 15, 2008 [1][2]. ",The crisis started with a crisis in the subprime mortgage market.,1,not selfcomplete
79,890,openrouter/google/gemma-4-26b-a4b-it,Who won the nba finals in the last four years?,"Here are the winners of the NBA Finals for the last four years (2016 to 2019) based on the provided information:

- 2016: Cleveland Cavaliers, who defeated the Golden State Warriors in seven games.
- 2017: Golden State Warriors, who defeated the Cleveland Cavaliers in five games.
- 2018: Golden State Warriors, who defeated the Cleveland Cavaliers in four games.
- 2019: (not mentioned in the documents, but for accuracy)  The Toronto Raptors, who defeated the Golden State Warriors in six games.","- 2019: (not mentioned in the documents, but for accuracy)  The Toronto Raptors, who defeated the Golden State Warriors in six games.",The 2019 series lasted six games.,1,not selfcomplete
80,825,openrouter/google/gemma-4-26b-a4b-it,When does the next attack on titan episode air?,"Unfortunately, I couldn't find any information on the release date of the next Attack on Titan episode. The provided documents only discuss the airing schedules and release dates of previous seasons, compilation films, and spin-offs, but do not mention any upcoming episodes.","The provided documents only discuss the airing schedules and release dates of previous seasons, compilation films, and spin-offs, but do not mention any upcoming episodes.",The provided documents do not mention any upcoming episodes.,1,
81,938,openrouter/google/gemma-4-26b-a4b-it,Where does the flat iron cut of meat come from?,"The flat iron cut of meat comes from the shoulder of a beef animal, specifically the infraspinatus muscles of the shoulder clod, located under the seven or paddle bone (shoulder blade or scapula) [1]. The flat iron steak is anatomically distinct from the shoulder tender, which lies directly below it [1]. This cut is also known as the top blade or patio steak and is a flavorful cut that can be a bit tough due to the presence of a gristly fascia membrane [2][3].",This cut is also known as the top blade or patio steak and is a flavorful cut that can be a bit tough due to the presence of a gristly fascia membrane [2][3].,The toughness is due to the presence of a gristly fascia membrane.,1,
82,387,openrouter/google/gemma-4-26b-a4b-it,Who did ed sheeran wrote nancy mulligan about?,"Ed Sheeran wrote the song ""Nancy Mulligan"" about his grandparents, William Sheeran, a Protestant from Belfast, Northern Ireland and Nancy Mulligan (real name Anne Mulligan), a Catholic from Republic of Ireland [1][3]. The two met, fell in love during the Second World War, and got married, despite initial opposition, and this story inspired the romantic ballad [1][3].","The two met, fell in love during the Second World War, and got married, despite initial opposition, and this story inspired the romantic ballad [1][3].",The story of William and Nancy inspired the romantic ballad.,1,
83,777,openrouter/google/gemma-4-26b-a4b-it,Where does it rain the most in texas?,"The eastern region of Texas, specifically the Piney Woods, receives the most rainfall, with over 60 inches (1,500 mm) annually [2][3]. This is due to the gulf currents that carry humid air to the region, where it condenses and precipitates out in the vicinity of sea breeze fronts as well as when extratropical cyclones move by [3].","This is due to the gulf currents that carry humid air to the region, where it condenses and precipitates out in the vicinity of sea breeze fronts as well as when extratropical cyclones move by [3].",Gulf currents carry humid air to the region.,1,
84,296,openrouter/google/gemma-4-26b-a4b-it,Who was the programmer of ms-dos operating system?,"The programmer of the MS-DOS operating system was Tim Paterson, who created 86-DOS, a system that later formed the basis of MS-DOS [1]. Paterson's 86-DOS was initially developed as a variant of CP/M-80, and was intended as an internal product for testing Seattle Computer Products' new 16-bit Intel 8086 CPU card [4].","The programmer of the MS-DOS operating system was Tim Paterson, who created 86-DOS, a system that later formed the basis of MS-DOS [1]. ",Tim Paterson was the programmer of the MS-DOS operating system.,1,
85,370,openrouter/google/gemma-4-26b-a4b-it,Who owns the trump tower in new york?,"The Trump International Hotel and Tower in New York City is owned by the General Electric Pension Trust [1]. However, Trump Tower in New York City, which is the headquarters for The Trump Organization, is not mentioned as being owned by the General Electric Pension Trust in the provided documents.","However, Trump Tower in New York City, which is the headquarters for The Trump Organization, is not mentioned as being owned by the General Electric Pension Trust in the provided documents.",The provided documents do not mention Trump Tower being owned by the General Electric Pension Trust.,1,
86,223,openrouter/google/gemma-4-26b-a4b-it,Where does places in the heart take place?,"The film ""Places in the Heart"" takes place in a small, segregated town in Texas, specifically Waxahachie, Texas [1]. It is set in 1935, during the US Depression era, and follows a U.S. widow's efforts to save the family farm with the help of a blind white man and a poor black man.","It is set in 1935, during the US Depression era, and follows a U.S. widow's efforts to save the family farm with the help of a blind white man and a poor black man.",The film follows a U.S. widow.,1,not selfcomplete
87,225,openrouter/google/gemma-4-26b-a4b-it,When was the statue of liberty delivered to the united states?,"The Statue of Liberty was formally delivered to the American minister in Paris on July 4, 1880 [3]. However, the statue itself was transported to New York Harbor and arrived on June 17, 1885, on board the French frigate ""Isère"" [1]. It was installed on Bedloe's Island in New York Harbor in October 1886, and officially dedicated on October 28, 1886 [3][5].","The Statue of Liberty was formally delivered to the American minister in Paris on July 4, 1880 [3]. ","The delivery occurred on July 4, 1880.",1,
88,223,openrouter/google/gemma-4-26b-a4b-it,Where does places in the heart take place?,"The film ""Places in the Heart"" takes place in a small, segregated town in Texas, specifically Waxahachie, Texas [1]. It is set in 1935, during the US Depression era, and follows a U.S. widow's efforts to save the family farm with the help of a blind white man and a poor black man.","It is set in 1935, during the US Depression era, and follows a U.S. widow's efforts to save the family farm with the help of a blind white man and a poor black man.",A poor black man helps the widow.,1,
89,30,openrouter/google/gemma-4-26b-a4b-it,Who is elected as the vice president of india?,"The Vice President of India is elected indirectly by members of an electoral college consisting of the members of both Houses of Parliament in accordance with the system of Proportional Representation by means of the Single transferable vote and the voting is by secret ballot conducted by election commission [4]. The Vice President of India is elected for a term of 5 years [2]. As of my knowledge cutoff, the current Vice President of India is Venkaiah Naidu, who won the election on 5 August 2017, defeating Gopalkrishna Gandhi [4].","As of my knowledge cutoff, the current Vice President of India is Venkaiah Naidu, who won the election on 5 August 2017, defeating Gopalkrishna Gandhi [4].",Venkaiah Naidu is the current Vice President of India.,1,
90,828,openrouter/google/gemma-4-26b-a4b-it,Where does winston moved to in still game?,"There is no information about Winston moving to a new location in the provided documents. However, if we assume that the question refers to a character from the TV show ""Still Game"", Winston Irvine, the answer would be Possilpark, Glasgow, Scotland, as mentioned in Document [1], where Winston buys several electric heaters.","However, if we assume that the question refers to a character from the TV show ""Still Game"", Winston Irvine, the answer would be Possilpark, Glasgow, Scotland, as mentioned in Document [1], where Winston buys several electric heaters.","Document [1] mentions Possilpark, Glasgow, Scotland.",1,
91,913,openrouter/google/gemma-4-26b-a4b-it,Who played sirius black in prisoner of azkaban?,"Sirius Black in the film adaptation of ""Harry Potter and the Prisoner of Azkaban"" was played by Gary Oldman [1].","Sirius Black in the film adaptation of ""Harry Potter and the Prisoner of Azkaban"" was played by Gary Oldman [1].",Sirius Black is a character in the film adaptation.,1,not selfcomplete
92,686,openrouter/google/gemma-4-26b-a4b-it,Who loves helena in a midsummer night's dream?,"Helena loves Demetrius in William Shakespeare's play ""A Midsummer Night's Dream"", despite being jilted by him and having him not return her love at first [2][3].","Helena loves Demetrius in William Shakespeare's play ""A Midsummer Night's Dream"", despite being jilted by him and having him not return her love at first [2][3].",The characters are in William Shakespeare's play 'A Midsummer Night's Dream'.,1,
93,80,openrouter/google/gemma-4-26b-a4b-it,When did the teenage mutant ninja turtles cartoon come out?,"The first Teenage Mutant Ninja Turtles cartoon series, known as TMNT 1987, began its official run on October 1, 1988, but the first appearance of the characters was in an American comic book published by Mirage Studios in 1984 [2]. However, the first Teenage Mutant Ninja Turtles cartoon series was shown as a five-part miniseries in December 1987, a year before the show began its official run [3] or [5].","The first Teenage Mutant Ninja Turtles cartoon series, known as TMNT 1987, began its official run on October 1, 1988, but the first appearance of the characters was in an American comic book published by Mirage Studios in 1984 [2]. ",The comic book was published in 1984.,1,not selfcomplete
94,89,openrouter/google/gemma-4-26b-a4b-it,When does the champions league group stage start?,"The exact start date of the Champions League group stage can vary from season to season. However, based on the information provided in the documents, it appears that the Champions League group stage typically takes place between late August and mid-December, with the first matchday usually occurring in mid-September and the final matchday in mid-December.

For example:
- The 2013-14 UEFA Champions League group stage was played from 17 September to 11 December 2013 [1].
- The 2017-18 UEFA Champions League group stage began on 12 September and ended on 6 December 2017 [3].
- The 2014-15 UEFA Champions League group stage was played from 16 September to 10 December 2014 [5].

Therefore, the Champions League group stage typically starts in mid-September and ends in mid-December.","- The 2014-15 UEFA Champions League group stage was played from 16 September to 10 December 2014 [5].

",The 2014-15 UEFA Champions League group stage ended on 10 December 2014.,1,
95,142,openrouter/google/gemma-4-26b-a4b-it,Who wrote the song mary did you know?,"The song ""Mary, Did You Know?"" was written by Mark Lowry with music by Buddy Greene. Mark Lowry wrote the lyrics for the song in 1984 when he was asked to write a script for a church Christmas play, and he later worked with Buddy Greene to complete the song, which was originally recorded by Christian recording artist Michael English on his self-titled debut solo album in 1991 [1][3].","Mark Lowry wrote the lyrics for the song in 1984 when he was asked to write a script for a church Christmas play, and he later worked with Buddy Greene to complete the song, which was originally recorded by Christian recording artist Michael English on his self-titled debut solo album in 1991 [1][3].",Michael English originally recorded the song.,1,
96,166,openrouter/google/gemma-4-26b-a4b-it,Who passed the pure food and drug act?,"President Theodore Roosevelt signed into law the Pure Food and Drug Act on June 1906, also known as the ""Wiley Act"" after its chief advocate Harvey W. Wiley [1][2][4]. The Act prohibited the interstate transport of food that had been ""adulterated"" and applied similar penalties to the interstate transport of misbranded and adulterated foods [1][3][4].","The Act prohibited the interstate transport of food that had been ""adulterated"" and applied similar penalties to the interstate transport of misbranded and adulterated foods [1][3][4].",The Act applied penalties to the interstate transport of misbranded food.,1,
97,32,openrouter/google/gemma-4-26b-a4b-it,Who plays snowman in smokey and the bandit?,"Jerry Reed played the role of Cledus ""Snowman"" Snow, the truck-driving partner of Bo ""Bandit"" Darville (Burt Reynolds) in the films ""Smokey and the Bandit"" (1977), ""Smokey and the Bandit II"" (1980), and ""Smokey and the Bandit Part 3"" (1983) [2].","Jerry Reed played the role of Cledus ""Snowman"" Snow, the truck-driving partner of Bo ""Bandit"" Darville (Burt Reynolds) in the films ""Smokey and the Bandit"" (1977), ""Smokey and the Bandit II"" (1980), and ""Smokey and the Bandit Part 3"" (1983) [2].","Jerry Reed appeared in the film ""Smokey and the Bandit"" (1977).",1,
98,890,openrouter/google/gemma-4-26b-a4b-it,Who won the nba finals in the last four years?,"Here are the winners of the NBA Finals for the last four years (2016 to 2019) based on the provided information:

- 2016: Cleveland Cavaliers, who defeated the Golden State Warriors in seven games.
- 2017: Golden State Warriors, who defeated the Cleveland Cavaliers in five games.
- 2018: Golden State Warriors, who defeated the Cleveland Cavaliers in four games.
- 2019: (not mentioned in the documents, but for accuracy)  The Toronto Raptors, who defeated the Golden State Warriors in six games.","- 2019: (not mentioned in the documents, but for accuracy)  The Toronto Raptors, who defeated the Golden State Warriors in six games.",The Toronto Raptors defeated the Golden State Warriors in 2019.,1,
99,867,openrouter/google/gemma-4-26b-a4b-it,Civil court of the city of new york jurisdictional limit?,"The jurisdictional limit of the Civil Court of the City of New York is $25,000 [1][2][4], including claims for damages and civil matters such as replevin, real property actions, and foreclosures within the monetary limit [1]. The court also has limited equity jurisdiction, but only for specific types of real property actions and ejectment actions [1].","The court also has limited equity jurisdiction, but only for specific types of real property actions and ejectment actions [1].",The limited equity jurisdiction applies to ejectment actions.,1
